2025-05-29 21:04:00,917 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:04:01,003 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:04:01,080 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:04:01,148 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:04:01,223 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:04:01,292 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:04:01,363 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:04:01,425 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:04:01,496 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:04:01,559 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:04:01,634 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:04:01,728 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
